saved,value,chk,units,metric,label,combined,start_time,end_time,result_id,datacenter|chiller
1,63,,,Chiller Loads,,0,2011-05-05 14:05:14.733,,240763,EMSL|Chiller1
1,66,,,Chiller Loads,,0,2011-05-05 13:40:14.723,,236564,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:45:44.750,,237465,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 14:02:44.727,,240338,EMSL|Chiller1
1,63,,,Chiller Loads,,0,2011-05-05 13:50:14.727,,238213,EMSL|Chiller1
1,62,,,Chiller Loads,,0,2011-05-05 13:40:14.723,,236513,EMSL|Chiller1
1,65,,,Chiller Loads,,0,2011-05-05 13:54:44.740,,238995,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:45:44.750,,237499,EMSL|Chiller4
1,69,,,Chiller Loads,,0,2011-05-05 13:55:44.733,,239199,EMSL|Chiller4
1,71,,,Chiller Loads,,0,2011-05-05 13:56:44.743,,239369,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:46:44.740,,237669,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:53:44.737,,238859,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:46:14.740,,237550,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:40:14.723,,236530,EMSL|Chiller2
1,65,,,Chiller Loads,,0,2011-05-05 13:42:14.733,,236904,EMSL|Chiller4
1,65,,,Chiller Loads,,0,2011-05-05 13:57:44.730,,239505,EMSL|Chiller2
1,66,,,Chiller Loads,,0,2011-05-05 14:05:14.733,,240814,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 14:04:14.727,,240644,EMSL|Chiller4
1,62,,,Chiller Loads,,0,2011-05-05 13:38:14.727,,236173,EMSL|Chiller1
1,67,,,Chiller Loads,,0,2011-05-05 13:39:14.730,,236394,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:53:14.737,,238774,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:40:44.740,,236649,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:59:14.740,,239794,EMSL|Chiller4
1,66,,,Chiller Loads,,0,2011-05-05 13:42:44.730,,236989,EMSL|Chiller4
1,63,,,Chiller Loads,,0,2011-05-05 13:42:44.730,,236938,EMSL|Chiller1
1,67,,,Chiller Loads,,0,2011-05-05 13:52:44.730,,238689,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:41:44.733,,236785,EMSL|Chiller2
1,70,,,Chiller Loads,,0,2011-05-05 13:48:44.710,,238009,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:42:14.733,,236870,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 14:04:44.743,,240678,EMSL|Chiller1
1,66,,,Chiller Loads,,0,2011-05-05 14:01:44.747,,240185,EMSL|Chiller2
1,68,,,Chiller Loads,,0,2011-05-05 14:04:44.743,,240729,EMSL|Chiller4
1,65,,,Chiller Loads,,0,2011-05-05 13:55:44.733,,239165,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:49:14.710,,238094,EMSL|Chiller4
1,65,,,Chiller Loads,,0,2011-05-05 13:51:44.730,,238519,EMSL|Chiller4
1,65,,,Chiller Loads,,0,2011-05-05 13:44:14.733,,237193,EMSL|Chiller1
1,66,,,Chiller Loads,,0,2011-05-05 14:00:14.733,,239930,EMSL|Chiller2
1,62,,,Chiller Loads,,0,2011-05-05 13:41:44.733,,236768,EMSL|Chiller1
1,65,,,Chiller Loads,,0,2011-05-05 13:57:14.737,,239420,EMSL|Chiller2
1,66,,,Chiller Loads,,0,2011-05-05 13:43:14.727,,237074,EMSL|Chiller4
1,66,,,Chiller Loads,,0,2011-05-05 13:41:44.733,,236819,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:50:44.733,,238349,EMSL|Chiller4
1,69,,,Chiller Loads,,0,2011-05-05 13:44:44.730,,237295,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:54:14.737,,238910,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 13:45:44.750,,237448,EMSL|Chiller1
1,69,,,Chiller Loads,,0,2011-05-05 14:00:14.733,,239964,EMSL|Chiller4
1,64,,,Chiller Loads,,0,2011-05-05 13:59:44.737,,239828,EMSL|Chiller1
1,68,,,Chiller Loads,,0,2011-05-05 14:02:44.727,,240389,EMSL|Chiller4
1,69,,,Chiller Loads,,0,2011-05-05 13:47:44.757,,237805,EMSL|Chiller2
1,64,,,Chiller Loads,,0,2011-05-05 14:00:14.733,,239913,EMSL|Chiller1
1,68,,,Chiller Loads,,0,2011-05-05 14:01:44.747,,240219,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:54:44.740,,239029,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:58:44.737,,239675,EMSL|Chiller2
1,64,,,Chiller Loads,,0,2011-05-05 13:58:44.737,,239658,EMSL|Chiller1
1,64,,,Chiller Loads,,0,2011-05-05 13:43:44.727,,237108,EMSL|Chiller1
1,63,,,Chiller Loads,,0,2011-05-05 13:46:14.740,,237533,EMSL|Chiller1
1,68,,,Chiller Loads,,0,2011-05-05 13:42:44.730,,236955,EMSL|Chiller2
1,68,,,Chiller Loads,,0,2011-05-05 13:45:14.730,,237414,EMSL|Chiller4
1,64,,,Chiller Loads,,0,2011-05-05 13:51:44.730,,238468,EMSL|Chiller1
1,64,,,Chiller Loads,,0,2011-05-05 13:53:14.737,,238723,EMSL|Chiller1
1,68,,,Chiller Loads,,0,2011-05-05 13:49:44.730,,238145,EMSL|Chiller2
1,68,,,Chiller Loads,,0,2011-05-05 13:50:14.727,,238230,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:38:44.730,,236275,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:50:44.733,,238315,EMSL|Chiller2
1,66,,,Chiller Loads,,0,2011-05-05 13:56:44.743,,239335,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:48:44.710,,237975,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 13:57:14.737,,239403,EMSL|Chiller1
1,68,,,Chiller Loads,,0,2011-05-05 13:47:14.750,,237754,EMSL|Chiller4
1,65,,,Chiller Loads,,0,2011-05-05 13:38:44.730,,236309,EMSL|Chiller4
1,69,,,Chiller Loads,,0,2011-05-05 13:43:14.727,,237040,EMSL|Chiller2
1,64,,,Chiller Loads,,0,2011-05-05 14:03:14.717,,240423,EMSL|Chiller1
1,71,,,Chiller Loads,,0,2011-05-05 13:57:14.737,,239454,EMSL|Chiller4
1,63,,,Chiller Loads,,0,2011-05-05 13:53:44.737,,238808,EMSL|Chiller1
1,66,,,Chiller Loads,,0,2011-05-05 14:00:44.747,,240015,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:48:14.733,,237890,EMSL|Chiller2
1,66,,,Chiller Loads,,0,2011-05-05 14:03:44.723,,240525,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:46:14.740,,237584,EMSL|Chiller4
1,63,,,Chiller Loads,,0,2011-05-05 14:02:14.747,,240253,EMSL|Chiller1
1,63,,,Chiller Loads,,0,2011-05-05 13:57:44.730,,239488,EMSL|Chiller1
1,70,,,Chiller Loads,,0,2011-05-05 13:57:44.730,,239539,EMSL|Chiller4
1,68,,,Chiller Loads,,0,2011-05-05 13:46:44.740,,237635,EMSL|Chiller2
1,64,,,Chiller Loads,,0,2011-05-05 13:52:14.737,,238553,EMSL|Chiller1
1,68,,,Chiller Loads,,0,2011-05-05 13:59:44.737,,239879,EMSL|Chiller4
1,62,,,Chiller Loads,,0,2011-05-05 13:38:44.730,,236258,EMSL|Chiller1
1,66,,,Chiller Loads,,0,2011-05-05 13:41:14.723,,236734,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 14:04:44.743,,240695,EMSL|Chiller2
1,64,,,Chiller Loads,,0,2011-05-05 13:47:44.757,,237788,EMSL|Chiller1
1,66,,,Chiller Loads,,0,2011-05-05 14:01:14.793,,240100,EMSL|Chiller2
1,68,,,Chiller Loads,,0,2011-05-05 13:58:44.737,,239709,EMSL|Chiller4
1,63,,,Chiller Loads,,0,2011-05-05 13:56:14.730,,239233,EMSL|Chiller1
1,67,,,Chiller Loads,,0,2011-05-05 13:44:14.733,,237244,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 14:02:14.747,,240304,EMSL|Chiller4
1,64,,,Chiller Loads,,0,2011-05-05 14:04:14.727,,240593,EMSL|Chiller1
1,63,,,Chiller Loads,,0,2011-05-05 13:55:14.737,,239063,EMSL|Chiller1
1,68,,,Chiller Loads,,0,2011-05-05 13:47:14.750,,237720,EMSL|Chiller2
1,68,,,Chiller Loads,,0,2011-05-05 14:00:44.747,,240049,EMSL|Chiller4
1,64,,,Chiller Loads,,0,2011-05-05 13:45:14.730,,237363,EMSL|Chiller1
1,67,,,Chiller Loads,,0,2011-05-05 13:55:14.737,,239114,EMSL|Chiller4
1,63,,,Chiller Loads,,0,2011-05-05 13:49:14.710,,238043,EMSL|Chiller1
1,64,,,Chiller Loads,,0,2011-05-05 13:59:14.740,,239743,EMSL|Chiller1
1,69,,,Chiller Loads,,0,2011-05-05 13:39:44.740,,236445,EMSL|Chiller2
1,64,,,Chiller Loads,,0,2011-05-05 13:48:14.733,,237873,EMSL|Chiller1
1,67,,,Chiller Loads,,0,2011-05-05 14:03:44.723,,240559,EMSL|Chiller4
1,63,,,Chiller Loads,,0,2011-05-05 14:01:44.747,,240168,EMSL|Chiller1
1,63,,,Chiller Loads,,0,2011-05-05 13:56:44.743,,239318,EMSL|Chiller1
1,62,,,Chiller Loads,,0,2011-05-05 13:41:14.723,,236683,EMSL|Chiller1
1,65,,,Chiller Loads,,0,2011-05-05 13:51:14.730,,238434,EMSL|Chiller4
1,66,,,Chiller Loads,,0,2011-05-05 13:39:44.740,,236479,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:58:14.740,,239624,EMSL|Chiller4
1,64,,,Chiller Loads,,0,2011-05-05 14:00:44.747,,239998,EMSL|Chiller1
1,62,,,Chiller Loads,,0,2011-05-05 13:40:44.740,,236598,EMSL|Chiller1
1,63,,,Chiller Loads,,0,2011-05-05 14:01:14.793,,240083,EMSL|Chiller1
1,66,,,Chiller Loads,,0,2011-05-05 14:03:14.717,,240440,EMSL|Chiller2
1,68,,,Chiller Loads,,0,2011-05-05 13:52:44.730,,238655,EMSL|Chiller2
1,65,,,Chiller Loads,,0,2011-05-05 13:38:14.727,,236224,EMSL|Chiller4
1,65,,,Chiller Loads,,0,2011-05-05 14:02:44.727,,240355,EMSL|Chiller2
1,67,,,Chiller Loads,,0,2011-05-05 13:54:14.737,,238944,EMSL|Chiller4
1,63,,,Chiller Loads,,0,2011-05-05 13:46:44.740,,237618,EMSL|Chiller1
1,64,,,Chiller Loads,,0,2011-05-05 14:03:44.723,,240508,EMSL|Chiller1
1,63,,,Chiller Loads,,0,2011-05-05 13:39:44.740,,236428,EMSL|Chiller1
1,69,,,Chiller Loads,,0,2011-05-05 13:43:44.727,,237125,EMSL|Chiller2
1,65,,,Chiller Loads,,0,2011-05-05 13:44:44.730,,237278,EMSL|Chiller1
1,70,,,Chiller Loads,,0,2011-05-05 13:44:44.730,,237329,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 14:05:14.733,,240780,EMSL|Chiller2
1,67,,,Chiller Loads,,0,2011-05-05 13:59:14.740,,239760,EMSL|Chiller2
1,64,,,Chiller Loads,,0,2011-05-05 13:43:14.727,,237023,EMSL|Chiller1
1,63,,,Chiller Loads,,0,2011-05-05 13:48:44.710,,237958,EMSL|Chiller1
1,68,,,Chiller Loads,,0,2011-05-05 13:41:14.723,,236700,EMSL|Chiller2
1,64,,,Chiller Loads,,0,2011-05-05 13:58:14.740,,239573,EMSL|Chiller1
1,65,,,Chiller Loads,,0,2011-05-05 13:55:14.737,,239080,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:51:44.730,,238485,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:38:14.727,,236190,EMSL|Chiller2
1,68,,,Chiller Loads,,0,2011-05-05 13:45:14.730,,237380,EMSL|Chiller2
1,66,,,Chiller Loads,,0,2011-05-05 13:52:14.737,,238604,EMSL|Chiller4
1,65,,,Chiller Loads,,0,2011-05-05 14:02:14.747,,240270,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 13:51:14.730,,238383,EMSL|Chiller1
1,69,,,Chiller Loads,,0,2011-05-05 13:49:14.710,,238060,EMSL|Chiller2
1,64,,,Chiller Loads,,0,2011-05-05 13:55:44.733,,239148,EMSL|Chiller1
1,69,,,Chiller Loads,,0,2011-05-05 13:48:14.733,,237924,EMSL|Chiller4
1,69,,,Chiller Loads,,0,2011-05-05 13:44:14.733,,237210,EMSL|Chiller2
1,68,,,Chiller Loads,,0,2011-05-05 14:01:14.793,,240134,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 14:03:14.717,,240474,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:43:44.727,,237159,EMSL|Chiller4
1,63,,,Chiller Loads,,0,2011-05-05 13:42:14.733,,236853,EMSL|Chiller1
1,69,,,Chiller Loads,,0,2011-05-05 13:51:14.730,,238400,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 13:47:14.750,,237703,EMSL|Chiller1
1,63,,,Chiller Loads,,0,2011-05-05 13:54:44.740,,238978,EMSL|Chiller1
1,69,,,Chiller Loads,,0,2011-05-05 13:53:44.737,,238825,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 13:49:44.730,,238128,EMSL|Chiller1
1,63,,,Chiller Loads,,0,2011-05-05 13:50:44.733,,238298,EMSL|Chiller1
1,68,,,Chiller Loads,,0,2011-05-05 13:56:14.730,,239284,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:59:44.737,,239845,EMSL|Chiller2
1,67,,,Chiller Loads,,0,2011-05-05 13:58:14.740,,239590,EMSL|Chiller2
1,67,,,Chiller Loads,,0,2011-05-05 14:04:14.727,,240610,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:39:14.730,,236360,EMSL|Chiller2
1,69,,,Chiller Loads,,0,2011-05-05 13:47:44.757,,237839,EMSL|Chiller4
1,67,,,Chiller Loads,,0,2011-05-05 13:49:44.730,,238179,EMSL|Chiller4
1,63,,,Chiller Loads,,0,2011-05-05 13:39:14.730,,236343,EMSL|Chiller1
1,64,,,Chiller Loads,,0,2011-05-05 13:52:44.730,,238638,EMSL|Chiller1
1,68,,,Chiller Loads,,0,2011-05-05 13:53:14.737,,238740,EMSL|Chiller2
1,66,,,Chiller Loads,,0,2011-05-05 13:56:14.730,,239250,EMSL|Chiller2
1,63,,,Chiller Loads,,0,2011-05-05 13:54:14.737,,238893,EMSL|Chiller1
1,69,,,Chiller Loads,,0,2011-05-05 13:52:14.737,,238570,EMSL|Chiller2
1,68,,,Chiller Loads,,0,2011-05-05 13:50:14.727,,238264,EMSL|Chiller4
1,69,,,Chiller Loads,,0,2011-05-05 13:40:44.740,,236615,EMSL|Chiller2
